LCO,MtJ_capex,ch3oh_capex,ch3oh_co2,ch3oh_elec,ch3oh_h2_capex,ch3oh_h2_elec,ch3oh_h2_opex,ch3oh_opex,MtJ_elec,MtJ_h2_capex,MtJ_h2_elec,MtJ_h2_opex,MtJ_opex,Year,case
455.8003358744621,19.926379124306976,20.75649853551812,144.24301438619295,3.5793636903240467,99.53423886867516,101.09339469801554,33.61604689219931,7.536302713808684,4.560018726788778,5.829943131397976,5.921266377763833,1.9689671002809792,7.234901629189782,2024.0,low
427.5876986182815,18.696540995637438,19.116366496799962,140.84251318734354,3.4312299570904194,88.84050850511447,95.97327006886962,30.0044159053156,6.94080094778369,4.371300100782568,5.203587411088317,5.621369219229524,1.7574257904317379,6.788370032794673,2025.0,low
399.44646793246636,17.466492915011674,17.474341352021543,137.44201198849413,3.2827382903954887,78.14677814155372,90.92407790799066,26.392784918431875,6.3446118297799865,4.182125476608052,4.577231690778656,5.325626734110778,1.545884480582496,6.341762206707222,2026.0,low
371.37789407589,16.23618157793199,15.830237304858738,134.04151078964472,3.13392913060873,67.45304777799302,85.94722030431964,22.781153931548168,5.747667900570803,3.9925463742721576,3.9508759704689975,5.034121045894792,1.3343431707332556,5.89505879704508,2027.0,low
343.38295490341915,15.005534103667745,14.183848323311489,130.6410095907953,2.9848373916412227,56.75931741443229,81.04390515116968,19.169522944664454,5.149894353727753,3.802607273213727,3.3245202501593365,4.746922903596215,1.1228018608840142,5.448233342155903,2028.0,low
315.46237418937386,13.774448224429696,12.534946334516867,127.24050839194588,2.8354933127932225,46.065587050871585,76.21517658340692,15.557891957780736,4.551208380190682,3.6123466975357506,2.698164529849677,4.4640934645309684,0.9112605510347728,5.001248710487068,2029.0,low
287.6166254883049,12.542775988050373,10.883279506734011,123.8400071930965,2.685923170533296,35.37185668731089,71.46194029322854,11.946260970897033,3.9515185444880037,3.4217981227939696,2.0718088095400176,4.185685777118006,0.6997192411855319,4.554051183328782,2030.0,low
241.4910780194321,11.703714937758978,9.871530038590034,97.98075719309647,2.375451417033638,30.460335012036314,61.937467836736914,10.287475563737562,3.5841709280573983,3.0262649686960637,1.7841299928741405,3.6278161092625605,0.6025604674725797,4.249403554079479,2035.0,low
195.6768702777172,10.86110962416976,8.846700353181513,72.12150719309648,2.0644416306087296,25.54881333676175,52.72967072080441,8.628690156578093,3.2120741254044964,2.630046374272158,1.4964511762082633,3.0884948248333592,0.5054016937596276,3.943469068038598,2040.0,low
150.16250799622176,10.01386697522044,7.802869068139333,46.26225719309647,1.752794947324719,20.637291661487183,43.83693528221588,6.969904749418624,2.833078191540191,2.2330163893733492,1.2087723595423863,2.567627407964463,0.4082429200466754,3.6358508508520533,2045.0,low
104.93104941540115,9.160471221535603,6.730870018475371,20.403007193096467,1.4403886903240466,15.72576998621262,35.25727540494681,5.311119342259158,2.4438550606080454,1.8350187267887783,0.9210935428765088,2.0650975273953223,0.3110841463337233,3.3259985545486828,2050.0,low
